,name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
0,ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
1,CASE_NUMBER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
2,DATE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
3,BLOCK,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
4,IUCR,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
5,PRIMARY_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
6,DESCRIPTION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
7,LOCATION_DESCRIPTION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
8,ARREST,BOOLEAN,COLUMN,Y,,N,N,,,,,
9,DOMESTIC,BOOLEAN,COLUMN,Y,,N,N,,,,,
10,BEAT,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
11,DISTRICT,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
12,WARD,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
13,COMMUNITY_AREA,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
14,FBI_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
15,X_COORDINATE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
16,Y_COORDINATE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
17,YEAR,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
18,UPDATED_ON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
19,LATITUDE,"NUMBER(38,9)",COLUMN,Y,,N,N,,,,,
20,LONGITUDE,"NUMBER(38,9)",COLUMN,Y,,N,N,,,,,
21,LOCATION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
